,CODE,NAME OF STOCK,CUR,"PRV,CLO/",ASK/,HIGH/,SHARES TRADED/
,,,,CLOSING,BID,LOW,TURNOVER ($)
,61426,SG#HKEX RC1907T,HKD,"0,091","0,145","0,145",6920000
,,,,"0,142","0,14","0,089",797400
,61427,CS#HSI  RP1902G,HKD,"0,035","0,033","0,05",215410000
,,,,"0,032","0,032","0,032",9043950
,61431,UB#TENCTRP1901I,HKD,"0,20","0,177","0,238",15820000
,,,,"0,177","0,172","0,193",3396760
,61433,UB#TENCTRP1901J,HKD,"0,35","0,325",-,-
,,,,"0,325","0,30",-,-
,61436,CS#HSI  RP1902J,HKD,"0,059","0,054","0,074",3978630000
,,,,"0,053","0,053","0,053",252323050
,61437,BP#HKEX RP1903G,HKD,"0,219","0,175","0,213",1420000
,,,,"0,175","0,169","0,175",292280
,61438,CS#HSI  RP1901G,HKD,"0,069","0,067","0,076",300000
,,,,"0,067","0,066","0,069",21900
,61439,BP#HKEX RP1903H,HKD,"0,135","0,09","0,126",28130000
,,,,"0,09","0,085","0,089",3150780
,61441,GS#HSBC RP1909A,HKD,"0,021","0,024","0,023",32000
,,,,"0,023","0,023","0,023",704
,61442,CS#HSI  RP1901P,HKD,"0,079","0,076","0,09",15610000
,,,,"0,075","0,075","0,075",1307060
,61450,BP#HSBC RP1901A,HKD,"0,102","0,104","0,103",1680000
,,,,"0,103","0,103","0,101",171120
,61453,GS#HSI  RP1901V,HKD,"0,043","0,041","0,06",302660000
,,,,"0,039","0,039","0,039",15211630
,61458,VT#TENCTRP1902C,HKD,"0,192","0,165","0,224",2072000
,,,,"0,165","0,16","0,188",419312
,61459,VT#TENCTRP1902D,HKD,"0,41","0,38","0,38",135000
,,,,"0,38","0,365","0,38",51300
,61460,GS#HSI  RP1901X,HKD,"0,049","0,046","0,064",70490000
,,,,"0,044","0,044","0,043",3871130
,61464,VT#HSBC RP1907A,HKD,"0,031","0,032",-,-
,,,,"0,031","0,03",-,-
,61466,SG#ICBC RC1908I,HKD,"0,081","0,086",-,-
,,,,"0,083","0,083",-,-
,61468,SG#HSI  RC2012R,HKD,"0,049","0,05","0,05",251190000
,,,,"0,05","0,049","0,043",11795510
,61470,GS#HSI  RP1901E,HKD,"0,08","0,079","0,097",2060000
,,,,"0,076","0,075","0,076",183870
,61487,SG#C MOBRP1904H,HKD,"0,127","0,121","0,129",630000
,,,,"0,121","0,118","0,126",79940
,61492,SG#GEG  RC1908C,HKD,"0,054","0,056","0,061",10750000
,,,,"0,056","0,054","0,047",590290
,61493,SG#HSBC RP1904J,HKD,"0,118","0,12",-,-
,,,,"0,118","0,117",-,-
,61498,JP#TENCTRP1812U,HKD,"0,155","0,128","0,194",347000
,,,,"0,128","0,126","0,132",60574
,61500,JP#TENCTRP1901L,HKD,"0,222","0,199","0,255",2087000
,,,,"0,199","0,195","0,212",482898
,61504,HS#HSI  RP1903E,HKD,"0,04","0,04","0,048",454500000
,,,,"0,04","0,039","0,041",19631600
,61506,HS#HSCEIRP1903D,HKD,"0,02","0,02","0,028",30730000
,,,,"0,02","0,019","0,02",705530
,61507,JP#TENCTRP1902C,HKD,"0,285","0,265","0,325",88293000
,,,,"0,265","0,255","0,27",27541660
,61510,HT#SUNY RP1904B,HKD,"0,128","0,143","0,148",12030000
,,,,"0,141","0,14","0,107",1559510
,61512,HT#SUNY RP1904C,HKD,"0,172","0,186","0,183",40000
,,,,"0,183","0,182","0,155",6900
,61517,VT#CCB  RC1907A,HKD,"0,09","0,089",-,-
,,,,"0,089","0,087",-,-
,61523,SG#HSBC RC1908A,HKD,"0,03","0,029",-,-
,,,,"0,029","0,026",-,-
,61533,VT#HSI  RP1812F,HKD,"0,243","0,24",-,-
,,,,"0,239","0,237",-,-
,61535,VT#HSI  RP1812G,HKD,N/A,"0,34",-,-
,,,,N/A,"0,335",-,-
,61540,SG#ICBC RP1905B,HKD,"0,055","0,052",-,-
,,,,"0,052","0,049",-,-
,61544,VT#HSI  NP1812H,HKD,"0,305","0,30",-,-
,,,,"0,30","0,295",-,-
,61550,SG#AIA  RC1812E,HKD,"0,156","0,161","0,155",2000
,,,,"0,158","0,158","0,155",310
,61558,SG#SANDSRC1911D,HKD,"0,064","0,064","0,067",1000000
,,,,"0,062","0,062","0,058",63732
,61565,SG#TENCTRC1903Q,HKD,"0,32","0,35","0,35",12680000
,,,,"0,35","0,34","0,285",3963950
,61569,SG#TENCTRC1904W,HKD,"0,375","0,41","0,375",180000
,,,,"0,395","0,395","0,345",65350
,61574,HS#TENCTRC1907B,HKD,"0,97","1,01","0,95",170000
,,,,"0,99","0,99","0,95",161500
,61575,GS#HSBC RC1909F,HKD,"0,078","0,078","0,079",4396000
,,,,"0,078","0,077","0,076",341452
,61577,SG#TENCTRC1904X,HKD,"0,42","0,465",-,-
,,,,"0,45","0,45",-,-
,61591,CS#TENCTRP1902P,HKD,"0,248","0,227","0,28",210000
,,,,"0,227","0,223","0,247",53530
,61592,MB#TENCTRP1812I,HKD,"0,86","0,83",-,-
,,,,"0,83","0,79",-,-
,61593,GS#HSI  RP1812L,HKD,"0,22","0,217","0,227",180000
,,,,"0,216","0,212","0,22",40650
,61594,GS#HSI  RP1812M,HKD,"0,24","0,236",-,-
,,,,"0,235","0,231",-,-
,61597,HS#HSI  RC1912M,HKD,N/A,"0,245",-,-
,,,,N/A,"0,244",-,-
,61599,CS#HSBC RC1903C,HKD,"0,085","0,084","0,083",172000
,,,,"0,083","0,082","0,082",14244
,61600,GS#HSI  RP1812N,HKD,"0,26","0,255",-,-
,,,,"0,25","0,246",-,-
,61601,GS#HSI  RP1812O,HKD,"0,28","0,275",-,-
,,,,"0,275","0,265",-,-
,61604,HS#HSI  RC1912L,HKD,"0,218","0,222",-,-
,,,,"0,22","0,22",-,-
,61610,HS#PINANRP1904B,HKD,"0,176","0,175",-,-
,,,,"0,175","0,173",-,-
,61611,GS#HSI  RP1812P,HKD,"0,325","0,32",-,-
,,,,"0,32","0,31",-,-
,61615,HS#CNOOCRP1903E,HKD,"0,249","0,234","0,246",120000
,,,,"0,234","0,231","0,234",29220
,61616,HS#HKEX RC1903M,HKD,"0,37","0,425","0,41",460000
,,,,"0,42","0,42","0,385",178550
,61621,GS#HSI  RP1812Q,HKD,"0,345","0,34",-,-
,,,,"0,34","0,335",-,-
,61626,CS#HSI  RP1901W,HKD,"0,091","0,089","0,103",3860000
,,,,"0,088","0,087","0,088",368690
,61627,HS#CSA50RP1903A,HKD,"0,087","0,086","0,10",2244000
,,,,"0,084","0,084","0,084",219960
,61629,HS#HSI  RP1903F,HKD,"0,111","0,11","0,118",2370000
,,,,"0,11","0,108","0,111",273650
,61633,HS#TRAHKRC1906A,HKD,"0,415","0,42","0,41",3960000
,,,,"0,415","0,415","0,40",1613050
,61636,GS#HSI  RP1812R,HKD,N/A,"0,355",-,-
,,,,N/A,"0,345",-,-
,61644,HS#HSCI RC1904A,HKD,"0,158","0,16","0,159",8160000
,,,,"0,16","0,159","0,151",1276240
,61649,SG#HSI  RC2008F,HKD,"0,161","0,165","0,155",10000
,,,,"0,164","0,163","0,155",1550
,61651,GS#HSI  RP1812S,HKD,N/A,"0,375",-,-
,,,,N/A,"0,365",-,-
,61656,HS#TENCTRP1902L,HKD,"0,132","0,11","0,174",28630000
,,,,"0,11","0,107","0,107",4243460
,61658,SG#HSI  RC2008M,HKD,"0,116","0,117","0,116",34860000
,,,,"0,116","0,116","0,10",3983360
,61664,SG#HSI  RP1903H,HKD,"0,08","0,079","0,094",15100000
,,,,"0,077","0,077","0,077",1280100
,61668,SG#HSI  RC2009V,HKD,"0,124","0,127","0,127",130000
,,,,"0,127","0,125","0,112",15160
,61688,SG#HSI  RC2009W,HKD,"0,109","0,111",-,-
,,,,"0,11","0,109",-,-
,61690,SG#HSI  RC2012L,HKD,"0,30","0,305","0,30",140000
,,,,"0,30","0,30","0,29",41500
,61694,HS#PETCHRP1904A,HKD,"0,162","0,165",-,-
,,,,"0,162","0,163",-,-
,61695,SG#HSI  RC2012M,HKD,"0,221","0,225","0,219",1000000
,,,,"0,224","0,223","0,214",216500
,61700,SG#HSI  RC2009X,HKD,"0,087","0,087","0,087",114480000
,,,,"0,087","0,086","0,073",9215030
,61704,SG#HSI  RC2011T,HKD,"0,088","0,089","0,09",461410000
,,,,"0,09","0,088","0,075",38369960
,61714,SG#HSBC RC1907A,HKD,"0,093","0,094",-,-
,,,,"0,093","0,091",-,-
,61720,UB#HKEX RC1905I,HKD,"0,36","0,415","0,40",240000
,,,,"0,40","0,40","0,37",89900
,61721,SG#TENCTRP1904T,HKD,"0,143","0,123","0,187",26840000
,,,,"0,118","0,121","0,118",4180970
,61722,SG#TENCTRP1904U,HKD,"0,218","0,197","0,265",19550000
,,,,"0,197","0,193","0,202",4578130
,61730,CS#HSI  RP1812E,HKD,"0,26","0,26",-,-
,,,,"0,26","0,25",-,-
,61734,BP#TENCTRP1903B,HKD,"0,141","0,117","0,178",63670000
,,,,"0,115","0,112","0,111",9918870
,61740,BP#HSBC RC1906G,HKD,"0,103","0,102","0,103",2160000
,,,,"0,101","0,101","0,10",218640
,61742,BP#CSA50RC1906I,HKD,"0,108","0,114","0,11",1548000
,,,,"0,111","0,111","0,106",166512
,61759,SG#HSCEIRP1812F,HKD,"0,145","0,145","0,149",70000
,,,,"0,145","0,144","0,149",10430
,61771,HS#HSI  RP1902G,HKD,"0,096","0,094","0,105",30320000
,,,,"0,093","0,093","0,093",2995140
,61774,HS#CLIFERP1903A,HKD,"0,184","0,20","0,206",300000
,,,,"0,20","0,196","0,187",59300
,61775,SG#HSI  RP1812A,HKD,"0,495","0,49","0,50",10000
,,,,"0,49","0,485","0,50",5000
,61782,HS#PINANRP1904D,HKD,"0,14","0,139",-,-
,,,,"0,139","0,137",-,-
,61783,HS#HKEX RC1904F,HKD,"0,245","0,305","0,29",2240000
,,,,"0,30","0,30","0,27",626600
<,/font>,</pre><pre><font,siz,e='1'> 61,785 HS#CN,OOCRC1903,"C  HKD    0,249    0"
,,,,"0,27","0,27","0,26",399400
,61790,HS#TENCTRP1902K,HKD,"0,255","0,225","0,29",21460000
,,,,"0,224","0,222","0,222",5659900
,61791,CS#HSI  RC2009Y,HKD,"0,108","0,113","0,113",3290000
,,,,"0,113","0,111","0,095",341360
,61794,HS#CP&CCRP1903B,HKD,"0,265","0,27",-,-
,,,,"0,265","0,26",-,-
,61802,CS#HSI  RC2008F,HKD,"0,082","0,085","0,085",224710000
,,,,"0,084","0,084","0,069",16622140
,61806,CS#GEG  RC1910B,HKD,"0,072","0,073","0,08",2080000
,,,,"0,07","0,071","0,066",148240
,61813,MB#TENCTRP1902A,HKD,"0,20","0,173","0,205",60000
,,,,"0,161","0,16","0,161",10540
,61815,MB#TENCTRP1902B,HKD,"0,42","0,395",-,-
,,,,"0,395","0,38",-,-
,61817,HS#HKEX RP1903L,HKD,"0,164","0,118",-,-
,,,,"0,118","0,115",-,-
,61818,MB#TENCTRP1902C,HKD,"0,31","0,28","0,345",20700000
,,,,"0,28","0,275","0,285",6581050
,61819,HS#SUNACRC1912B,HKD,"0,079","0,074",-,-
,,,,"0,075","0,072",-,-
,61824,HS#C MOBRC1903C,HKD,"0,046","0,054","0,054",21500000
,,,,"0,054","0,053","0,042",1035850
,61829,SG#HSI  RP1901A,HKD,"0,121","0,121","0,13",16500000
,,,,"0,121","0,119","0,121",2113030
,61833,CS#SANDSRC1911A,HKD,"0,066","0,063","0,068",3368000
,,,,"0,061","0,061","0,058",212728
,61842,SG#HSI  RC2011B,HKD,"0,255","0,26",-,-
,,,,"0,255","0,255",-,-
,61849,SG#HSI  RP1901B,HKD,"0,144","0,143","0,152",8490000
,,,,"0,143","0,141","0,143",1246630
,61853,SG#HSI  RC2012U,HKD,"0,325","0,34",-,-
,,,,"0,33","0,33",-,-
,61861,UB#TENCTRP1902A,HKD,"0,15","0,126","0,186",450000
,,,,"0,125","0,121","0,125",72700
,61872#,UB#HKEX RP1901B,HKD,TRADING,SUSPENDED,,
,61875,HT#TENCTRP1904F,HKD,"0,248","0,223","0,285",111680000
,,,,"0,221","0,218","0,221",27788030
,61877,UB#HKEX RP1902A,HKD,"0,131","0,083",-,10000
,,,,"0,083","0,078",-,1150
,61882,UB#HSBC RP1901B,HKD,"0,078","0,08",-,-
,,,,"0,078","0,078",-,-
,61891,UB#CLIFERP1902A,HKD,N/A,"0,315",-,-
,,,,N/A,"0,305",-,-
,61893,BP#HKEX RC1905Y,HKD,"0,223","0,27","0,249",6220000
,,,,"0,26","0,26","0,218",1434150
,61907,UB#HSBC RP1904A,HKD,"0,19","0,195",-,-
,,,,"0,191","0,191",-,-
,61909,HS#TENCTRP1812G,HKD,"0,74","0,71","0,75",400000
,,,,"0,71","0,70","0,71",295200
,61916,JP#HSI  RP1904A,HKD,"0,099","0,097","0,116",20960000
,,,,"0,095","0,095","0,095",2247990
,61928,CS#TENCTRP1902Q,HKD,"0,355","0,335","0,39",86000
,,,,"0,335","0,33","0,39",33540
,61940,CS#PETCHRC1910A,HKD,N/A,"0,136",-,-
,,,,N/A,"0,133",-,-
,61946,HS#AIA  RC1903I,HKD,"0,072","0,075","0,076",11800000
,,,,"0,074","0,074","0,068",842400
,61951,SG#CCB  RC1908N,HKD,"0,16","0,158",-,-
,,,,"0,158","0,155",-,-
,61957,HS#CMB  RC1907A,HKD,"0,063","0,066","0,065",2900000
,,,,"0,065","0,065","0,064",187300
,61965,CS#TENCTRC1910D,HKD,"0,46","0,485","0,47",3298000
,,,,"0,48","0,48","0,42",1434060
,61973,CS#TENCTRC1909C,HKD,"0,315","0,35","0,35",17989000
,,,,"0,35","0,345","0,275",5395885
,61978,UB#HSI  RP1812I,HKD,"0,179","0,176",-,-
,,,,"0,176","0,173",-,-
,61986,HT#C MOBRC1812A,HKD,"0,18","0,186",-,-
,,,,"0,184","0,184",-,-
,61990,HT#HSI  RP1812E,HKD,"0,123","0,12","0,141",320000
,,,,"0,12","0,119","0,131",42660
,61991,SG#TENCTRC1901K,HKD,"0,90","0,96",-,-
,,,,"0,93","0,93",-,-
,61997,SG#TENCTRC1902S,HKD,"0,82","0,86","0,81",40000
,,,,"0,82","0,82","0,81",32400
,62003,SG#GEELYRP1902A,HKD,"0,27","0,28","0,305",860000
,,,,"0,275","0,27","0,275",251650
,62006,CS#HSI  RC2012U,HKD,"0,087","0,088","0,088",1618530000
,,,,"0,087","0,086","0,071",129092700
,62016,BP#HSI  RP1903N,HKD,"0,095","0,091","0,109",123980000
,,,,"0,089","0,09","0,089",12546510
,62020,CS#HKEX RC1903D,HKD,"0,39","0,45","0,425",23000
,,,,"0,445","0,445","0,41",9550
,62021,VT#HKEX RC1909B,HKD,"0,255","0,315",-,-
,,,,"0,305","0,305",-,-
,62023,VT#AIA  RC1910A,HKD,"0,082","0,085","0,084",30000
,,,,"0,084","0,082","0,084",2520
,62025,VT#CLIFERC1910A,HKD,"0,28","0,275",-,-
,,,,"0,275","0,265",-,-
,62030,SG#TENCTRP1904V,HKD,"0,244","0,219","0,275",2640000
,,,,"0,214","0,213","0,214",669140
,62036,SG#GEG  RP1907D,HKD,"0,083","0,08","0,089",2650000
,,,,"0,08","0,078","0,076",218210
,62038,CS#SUNACRC2004A,HKD,"0,071","0,067","0,071",160000
,,,,"0,067","0,065","0,069",11120
,62041,SG#HSI  RP1902A,HKD,"0,059","0,057","0,067",12670000
,,,,"0,057","0,056","0,057",786480
,62048,SG#HSI  RP1812M,HKD,"0,085","0,085","0,095",50000
,,,,"0,084","0,083","0,095",4750
,62049,GS#HSI  RC2011I,HKD,"0,38","0,39",-,-
,,,,"0,38","0,38",-,-
,62051,HS#HSI  RC1909K,HKD,N/A,"0,072","0,072",1009020000
,,,,"0,072","0,07","0,06",65004840
,62054,CS#HSI  RP1902K,HKD,"0,048","0,045","0,06",4168250000
,,,,"0,043","0,044","0,043",213703650
,62058,CS#HSI  RP1901A,HKD,"0,056","0,054","0,069",54640000
,,,,"0,053","0,053","0,052",3357770
,62059,GS#HSI  RC2011U,HKD,N/A,"0,42",-,-
,,,,N/A,"0,41",-,-
,62061,GS#HSI  RC2011Z,HKD,N/A,"0,435",-,-
,,,,N/A,"0,425",-,-
,62084,CS#HSI  RP1903E,HKD,"0,067","0,066","0,079",11010000
,,,,"0,066","0,065","0,067",809470
,62086,HS#HSI  RC1909L,HKD,N/A,"0,065","0,066",845570000
,,,,"0,066","0,064","0,057",50560750
,62096,GS#HSBC RC1909O,HKD,"0,097","0,096","0,097",4852000
,,,,"0,095","0,094","0,094",468940
,62101,VT#HKEX RC1909A,HKD,"0,395","0,455",-,-
,,,,"0,445","0,445",-,-
,62120#,HS#HSI  RP1904R,HKD,TRADING,SUSPENDED,,
,62131,CS#HSI  RP1903F,HKD,"0,083","0,081","0,098",4300000
,,,,"0,08","0,079","0,08",366910
,62137,CS#HSI  RP1903G,HKD,N/A,"0,171",-,-
,,,,N/A,"0,169",-,-
,62140,HS#TENCTRC1904B,HKD,N/A,"0,315","0,295",25330000
,,,,"0,31","0,31","0,244",6889730
,62148,HS#HKEX RC1904B,HKD,"0,51","0,58",-,-
,,,,"0,56","0,56",-,-
,62154,VT#HSI  RP1812I,HKD,N/A,"0,28",-,-
,,,,N/A,"0,275",-,-
,62174,HS#TENCTRP1903E,HKD,"0,167","0,145","0,204",18630000
,,,,"0,145","0,142","0,142",3372470
,62175,CS#HSI  RP1903H,HKD,N/A,"0,225",-,-
,,,,N/A,"0,223",-,-
,62177,CS#HSI  RP1903I,HKD,"0,248","0,245","0,255",200000
,,,,"0,244","0,243","0,249",50940
,62178,UB#HSI  RP1902E,HKD,"0,066","0,063",-,-
,,,,"0,062","0,061",-,-
,62182,UB#GEG  RC1908A,HKD,"0,124","0,13",-,-
,,,,"0,124","0,125",-,-
,62183,HS#CLIFERC1904A,HKD,"0,46","0,455","0,46",1040000
,,,,"0,455","0,45","0,46",478400
,62184,UB#HKEX RC1906I,HKD,"0,228","0,275","0,27",13150000
,,,,"0,27","0,27","0,225",3170840
,62191,HS#HSCEIRC1912D,HKD,"0,126","0,129","0,126",30000
,,,,"0,128","0,127","0,126",3780
,62201,HS#GEG  RP1907B,HKD,N/A,"0,052","0,057",38600000
,,,,"0,052","0,051","0,047",2005500
,62218,BP#HSI  RP1902A,HKD,"0,214","0,21","0,228",3110000
,,,,"0,208","0,209","0,208",695780
,62226,BP#HSI  RP1902B,HKD,"0,202","0,198","0,216",9430000
,,,,"0,197","0,197","0,19",1958280
,62231,UB#HSI  RP1902G,HKD,"0,026","0,024","0,04",7030000
,,,,"0,023","0,022","0,028",247010
,62245,VT#TENCTRC1908J,HKD,N/A,"0,41","0,39",90621000
,,,,"0,40","0,405","0,335",32398235
,62255,CS#GEG  RP1905B,HKD,"0,027","0,027","0,033",3170000
,,,,"0,026","0,026","0,021",89670
,62259,HT#HSI  RP1812G,HKD,"0,121","0,119",-,-
,,,,"0,118","0,117",-,-
,62273,VT#CCB  RC1907C,HKD,N/A,"0,072",-,-
,,,,N/A,"0,07",-,-
,62276,VT#TENCTRC1906E,HKD,"0,90","0,97",-,-
,,,,"0,93","0,93",-,-
,62282,VT#C GDNRC1908A,HKD,N/A,"0,219",-,-
,,,,N/A,"0,214",-,-
,62296,JP#TENCTRP1902E,HKD,"0,18","0,157","0,219",16410000
,,,,"0,153","0,153","0,15",3178055
,62301,VT#C GDNRC1911A,HKD,N/A,"0,285",-,-
,,,,N/A,"0,275",-,-
,62302,JP#CCB  RC1904A,HKD,"0,114","0,112","0,112",604000
,,,,"0,111","0,111","0,11",66850
,62306,CS#HSI  RP1812F,HKD,"0,189","0,186",-,-
,,,,"0,186","0,184",-,-
,62315,CS#HSI  RP1812G,HKD,"0,201","0,198",-,-
,,,,"0,198","0,196",-,-
,62329,UB#HSI  RC2011G,HKD,"0,198","0,201","0,197",120000
,,,,"0,199","0,198","0,183",22240
,62331,UB#HSI  RC2010R,HKD,"0,237","0,24",-,-
,,,,"0,237","0,234",-,-
,62332,UB#HSI  RC1912G,HKD,"0,189","0,194",-,-
,,,,"0,193","0,193",-,-
,62334,VT#A CMTRC1907A,HKD,N/A,"0,091",-,-
,,,,N/A,"0,088",-,-
,62338,MB#TENCTRC1903J,HKD,N/A,"0,30","0,30",16670000
,,,,"0,295","0,29","0,226",4303220
,62345,SG#HSCEIRP1812D,HKD,"0,29","0,29",-,-
,,,,"0,29","0,285",-,-
,62350,MB#TENCTRC1903H,HKD,N/A,"0,415","0,38",1990000
,,,,"0,405","0,405","0,335",697150
,62357,CS#TENCTRP1901I,HKD,"0,72","0,69","0,71",16000
,,,,"0,69","0,67","0,69",11200
,62359#,MB#TENCTRP1903P,HKD,TRADING,SUSPENDED,,
,62362,BP#TENCTRP1904P,HKD,"0,185","0,163","0,224",43430000
,,,,"0,163","0,158","0,166",8543690
,62369,BP#TENCTRP1903C,HKD,"0,144","0,122","0,181",20450000
,,,,"0,116","0,12","0,115",3077870
,62370,HT#HSI  RC1911U,HKD,N/A,"0,10","0,096",1053420000
,,,,"0,10","0,099","0,083",97353650
,62376,HT#HSI  RC1910J,HKD,N/A,"0,121","0,115",15420000
,,,,"0,12","0,12","0,102",1695530
,62380,JP#HSI  RP1904Z,HKD,"0,071","0,07","0,085",9840000
,,,,"0,069","0,069","0,069",769010
,62393#,HT#HSI  RP1904C,HKD,TRADING,SUSPENDED,,
,62394,BP#GEG  RP1908D,HKD,"0,066","0,064","0,068",200000
,,,,"0,065","0,062","0,064",13200
,62398,JP#HSI  RP1904D,HKD,"0,056","0,054","0,07",23120000
,,,,"0,053","0,053","0,053",1429130
,62406,GS#HSI  RP1812A,HKD,"0,53","0,52",-,-
,,,,"0,52","0,51",-,-
,62412,HS#HSI  RP1904I,HKD,"0,046","0,044","0,055",771820000
,,,,"0,043","0,043","0,043",37803320
,62422,HS#AIA  RP1904B,HKD,"0,067","0,064","0,071",14040000
,,,,"0,063","0,063","0,064",948580
,62434,GS#HSI  RP1812B,HKD,N/A,"0,55",-,-
,,,,N/A,"0,54",-,-
,62438,GS#HSI  RP1812C,HKD,"0,57","0,56",-,-
,,,,"0,56","0,55",-,-
,62451,SG#CSA50RC1903A,HKD,"0,074","0,075","0,075",10548000
,,,,"0,074","0,074","0,063",742852
,62454,UB#HSI  RC2010W,HKD,N/A,"0,095","0,096",4613620000
,,,,"0,094","0,093","0,08",403618040
,62462,JP#HKEX RP1903E,HKD,"0,18","0,137","0,182",2001000
,,,,"0,137","0,134","0,141",348288
,62466,SG#HSI  RP1812C,HKD,"0,228","0,226",-,-
,,,,"0,225","0,224",-,-
,62468,SG#HSI  RP1901C,HKD,"0,172","0,171","0,186",690000
,,,,"0,17","0,169","0,17",123210
,62487,JP#HKEX RP1904A,HKD,"0,275","0,23","0,27",37000
,,,,"0,23","0,228","0,233",9382
,62488,CS#AG BKRC1907C,HKD,"0,036","0,036",-,-
,,,,"0,036","0,034",-,-
,62490,UB#HSI  RC2011R,HKD,N/A,"0,109","0,108",956610000
,,,,"0,108","0,108","0,097",97202310
,62499,UB#HSI  RC2012R,HKD,N/A,"0,107",-,-
,,,,N/A,"0,106",-,-
,62508,SG#AIA  RC1812N,HKD,"0,105","0,11",-,-
,,,,"0,107","0,106",-,-
,62511,HS#SUNACRC2001A,HKD,"0,12","0,117",-,-
,,,,"0,117","0,115",-,-
,62517,UB#HSI  RC2012S,HKD,N/A,"0,116",-,-
,,,,N/A,"0,115",-,-
,62518,MB#C OVSRP1812A,HKD,"0,335","0,39",-,-
,,,,"0,37","0,375",-,-
,62526,SG#BOCL RC1905C,HKD,"0,043","0,042","0,043",70000
,,,,"0,04","0,04","0,04",2890
,62527,SG#CCB  RC1812F,HKD,"0,10","0,098","0,098",340000
,,,,"0,097","0,095","0,096",32950
,62531,CS#HSI  RP1902F,HKD,"0,051","0,05","0,058",14240000
,,,,"0,049","0,049","0,049",784230
,62538,UB#HSI  RC2010Y,HKD,N/A,"0,155",-,-
,,,,N/A,"0,152",-,-
,62542,SG#CMB  RC1909A,HKD,"0,108","0,112",-,-
,,,,"0,109","0,109",-,-
,62547,UB#HSI  RC2011U,HKD,N/A,"0,164",-,-
,,,,N/A,"0,162",-,-
,62550,UB#HSI  RC2009W,HKD,N/A,"0,188",-,-
,,,,N/A,"0,187",-,-
,62552,SG#NCI  RC1906A,HKD,"0,085","0,089",-,-
,,,,"0,086","0,086",-,-
,62556,GS#HSI  RP1812U,HKD,"0,214","0,21","0,22",40000
,,,,"0,209","0,204","0,22",8760
,62557,GS#HSI  RP1812V,HKD,"0,229","0,224",-,-
,,,,"0,224","0,22",-,-
,62564#,UB#TENCTRP1903O,HKD,TRADING,SUSPENDED,,
,62595,GS#ICBC RC1906A,HKD,"0,114","0,118","0,115",220000
,,,,"0,116","0,116","0,113",25080
,62607,GS#CCB  RC1906A,HKD,"0,082","0,084","0,085",100000
,,,,"0,084","0,078","0,085",8500
,62642,VT#HSI  RP1812K,HKD,N/A,"0,25",-,-
,,,,N/A,"0,247",-,-
,62644,VT#HSI  RP1812L,HKD,N/A,"0,35",-,-
,,,,N/A,"0,345",-,-
,62649#,UB#HSI  RP1903H,HKD,TRADING,SUSPENDED,,
,62651,SG#HSI  RP1901P,HKD,"0,076","0,075","0,082",400000
,,,,"0,074","0,073","0,082",32800
,62653,UB#CSPC RC1905B,HKD,"0,181","0,217","0,217",15140000
,,,,"0,212","0,212","0,193",3090240
,62663,VT#PINANRC1903A,HKD,"0,194","0,197",-,-
,,,,"0,195","0,195",-,-
,62671,SG#HSI  RP1901U,HKD,"0,108","0,106","0,125",5200000
,,,,"0,105","0,105","0,105",591080
,62674,SG#HSI  RP1902Q,HKD,"0,045","0,045","0,059",52230000
,,,,"0,043","0,043","0,042",2658970
,62677,UB#TENCTRC1904B,HKD,N/A,"0,32","0,31",82230000
,,,,"0,31","0,31","0,25",22563650
,62685,SG#HSI  RP1902C,HKD,"0,054","0,053","0,068",26840000
,,,,"0,051","0,052","0,051",1676290
,62686,SG#HSI  RP1903J,HKD,"0,074","0,073","0,091",18420000
,,,,"0,071","0,071","0,071",1541920
,62691,VT#CCB  RP1901A,HKD,"0,082","0,082","0,079",830000
,,,,"0,079","0,079","0,079",65570
,62693,SG#HSBC RC1906D,HKD,"0,082","0,084",-,-
,,,,"0,082","0,081",-,-
,62702,CS#CNOOCRC1901A,HKD,"0,248","0,27",-,-
,,,,"0,255","0,255",-,-
,62705,SG#TENCTRP1904I,HKD,"0,112","0,094","0,156",10160000
,,,,"0,09","0,09","0,087",1268290
,62707,SG#TENCTRC1902V,HKD,"0,88","0,91","0,91",1770000
<,/font>,</pre><pre><font,siz,e='1'>,,,"0,91     0"
,62710,JP#HKEX RC1903H,HKD,"0,247","0,305",-,-
,,,,"0,285","0,285",-,-
,62711,SG#BOCHKRC1812A,HKD,"0,086","0,09","0,087",360000
,,,,"0,087","0,087","0,085",30900
,62722,BI#HKEX RC1903A,HKD,N/A,"0,465",-,-
,,,,N/A,"0,445",-,-
,62723,BI#PINANRP1903B,HKD,N/A,"0,101",-,-
,,,,N/A,"0,096",-,-
,62725,SG#TENCTRP1904J,HKD,"0,41","0,385","0,44",1040000
,,,,"0,385","0,37","0,39",437450
,62726,BI#GEELYRC1903A,HKD,N/A,"0,36",-,-
,,,,N/A,"0,34",-,-
,62730#,UB#HSI  RP1903Q,HKD,TRADING,SUSPENDED,,
,62733#,UB#PINANRP1903J,HKD,TRADING,SUSPENDED,,
,62734,HS#CSA50RC1903A,HKD,"0,074","0,08","0,078",3750000
,,,,"0,079","0,079","0,071",276898
,62735,HS#CSA50RC1903B,HKD,"0,102","0,108","0,104",904000
,,,,"0,106","0,106","0,10",91424
,62737,VT#HSI  NC1909B,HKD,"0,285","0,285","0,275",80000
