,CODE,NAME OF STOCK,CUR,"PRV,CLO/",ASK/,HIGH/,SHARES TRADED/
,,,,CLOSING,BID,LOW,TURNOVER ($)
,126,CARRIANNA,HKD,"0,87","0,88",-,-
,,,,"0,87","0,86",-,-
,127,CHINESE EST H,HKD,"8,95","8,77","9,00",472000
,,,,"8,76","8,76","8,70",4133410
,128,ENM HOLDINGS,HKD,"0,76","0,78","0,78",4640000
,,,,"0,78","0,77","0,75",3586160
,129,ASIA STANDARD,HKD,"1,45","1,47","1,48",40080
,,,,"1,44","1,44","1,44",58553
,130,MOISELLE INT'L,HKD,"0,66","0,70","0,70",300000
,,,,"0,68","0,68","0,67",203960
,131,CHEUK NANG HOLD,HKD,"4,47","4,48","4,48",15905
,,,,"4,48","4,45","4,48",71208
,132,CHINA INV HOLD,HKD,"0,41","0,45","0,42",20386
,,,,"0,42","0,38","0,42",8556
,133,CHINA MERCHANTS,HKD,"9,65","9,65","9,65",46000
,,,,"9,65","9,62","9,60",442420
,135,KUNLUN ENERGY,HKD,"9,24","9,64","9,65",22202691
,,,,"9,64","9,62","9,29",212031442
,136,HENGTEN NET,HKD,"0,27","0,275","0,275",74343888
,,,,"0,275","0,27","0,27",20251278
,137,JINHUI HOLDINGS,HKD,"0,94","0,95",-,-
,,,,"0,94","0,90",-,-
,138,CCT FORTIS,HKD,"0,72","0,73",-,-
,,,,"0,72","0,72",-,-
,139,CH SOFT POWER,HKD,"0,044","0,046","0,046",27358122
,,,,"0,044","0,044","0,042",1203926
,141,GREAT CHINA,HKD,"0,98","0,98","0,98",158000
,,,,"0,95","0,91","0,95",152000
,142,FIRST PACIFIC,HKD,"3,08","3,05","3,07",3194685
,,,,"3,05","3,04","3,03",9739108
,143,GUOAN INTL,HKD,"0,167","0,179","0,185",21431000
,,,,"0,179","0,175","0,169",3773976
,144,CHINA MER PORT,HKD,"14,86","15,42","15,40",9251073
,,,,"15,40","15,40","14,66",139707709
,145,HK BLDG & LOAN,HKD,"0,067","0,066","0,066",56000
,,,,"0,066","0,063","0,066",3696
,146,TAI PING CARPET,HKD,"1,41","1,55",-,-
,,,,"1,43","1,43",-,-
,147,IB SETTLEMENT,HKD,"0,154","0,18","0,17",125000
,,,,"0,17","0,17","0,152",21000
,148,KINGBOARD HLDG,HKD,"24,05","24,55","24,75",4452052
,,,,"24,55","24,50","23,35",107067960
,149,CH AGRI-PROD EX,HKD,"0,034","0,033","0,033",6645000
,,,,"0,032","0,032","0,032",215260
,151,WANT WANT CHINA,HKD,"5,79","5,81","5,90",19094644
,,,,"5,80","5,80","5,74",110736298
,152,SHENZHEN INT'L,HKD,"16,02","16,00","16,10",1334280
,,,,"15,98","15,98","15,74",21271558
