CODE,NAME OF STOCK,SALES RECORD
,,"44,000-15.44 42,000-15.44 100,000-15.46 64,000-15.46"
,,"45,000-15.46 86,000-15.46 53,000-15.46 85,000-15.50"
,,"44,000-15.50 100,000-15.50 58,000-15.50 80,000-15.50"
,,"59,000-15.52 40,000-15.52 36,000-15.52 40,000-15.52"
,,"50,000-15.54 47,000-15.54 70,000-15.52 38,000-15.54"
,,"34,000-15.60 39,000-15.60 35,000-15.60 74,000-15.62"
,,"43,000-15.64 66,000-15.68 52,000-15.68 32,000-15.68"
,,"60,000-15.68 38,000-15.68 80,000-15.66 100,000-15.68"
,,"96,000-15.66 37,000-15.66 38,000-15.66 45,000-15.66"
,,"41,000-15.68 68,000-15.68 ]< 99,000-15.74 71,000-15.74"
,,"83,000-15.74 67,000-15.74 50,000-15.74 45,000-15.74"
,,"122,000-15.74 235,000-15.74 137,000-15.74 82,000-15.74"
,,"76,000-15.74 226,000-15.74 226,000-15.74 36,000-15.74"
,,"86,000-15.74 187,000-15.74 160,000-15.74 140,000-15.74"
,,"49,000-15.74 72,000-15.74 97,000-15.74 33,000-15.74"
,,"U51,000-15.74 139,000-15.74 55,000-15.74 50,000-15.74"
,,"50,000-15.74 49,000-15.74 223,000-15.74 36,000-15.74"
,,"33,000-15.74 68,000-15.74 57,000-15.74 49,000-15.74"
,,"49,000-15.74 49,000-15.74 170,000-15.74 33,000-15.74"
